CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe bar.py
MEM 38.003906 1730131582.2538
MEM 38.046875 1730131582.3545
MEM 38.046875 1730131582.4549
MEM 38.093750 1730131582.5558
MEM 38.093750 1730131582.6563
MEM 38.093750 1730131582.7568
MEM 38.093750 1730131582.8573
MEM 38.093750 1730131582.9577
MEM 38.093750 1730131583.0581
MEM 38.324219 1730131583.1590
MEM 38.324219 1730131583.2594
MEM 38.324219 1730131583.3599
MEM 38.324219 1730131583.4604
MEM 38.324219 1730131583.5609
MEM 38.324219 1730131583.6618
MEM 38.382812 1730131583.7626
MEM 38.382812 1730131583.8634
MEM 38.382812 1730131583.9637
MEM 38.425781 1730131584.0646
MEM 38.425781 1730131584.1654
MEM 38.425781 1730131584.2658
MEM 38.425781 1730131584.3667
MEM 38.808594 1730131584.4674
MEM 38.808594 1730131584.5683
MEM 38.808594 1730131584.6691
MEM 38.808594 1730131584.7700
MEM 38.808594 1730131584.8708
MEM 38.808594 1730131584.9712
MEM 38.808594 1730131585.0720
MEM 39.246094 1730131585.1729
MEM 39.250000 1730131585.2737
MEM 39.250000 1730131585.3741
MEM 39.304688 1730131585.4748
MEM 39.304688 1730131585.5756
MEM 39.304688 1730131585.6760
MEM 39.304688 1730131585.7769
MEM 39.304688 1730131585.8778
MEM 39.347656 1730131585.9787
MEM 39.347656 1730131586.0795
MEM 39.347656 1730131586.1800
MEM 39.394531 1730131586.2809
MEM 39.394531 1730131586.3813
MEM 39.394531 1730131586.4818
MEM 39.394531 1730131586.5823
MEM 39.441406 1730131586.6832
MEM 39.441406 1730131586.7835
MEM 39.441406 1730131586.8837
MEM 39.441406 1730131586.9845
MEM 39.441406 1730131587.0853
MEM 39.441406 1730131587.1862
MEM 39.441406 1730131587.2870
MEM 39.496094 1730131587.3877
MEM 39.496094 1730131587.4881
MEM 39.550781 1730131587.5890
MEM 39.550781 1730131587.6898
MEM 39.550781 1730131587.7902
MEM 39.601562 1730131587.8910
MEM 39.601562 1730131587.9917
MEM 39.609375 1730131588.0921
MEM 39.652344 1730131588.1929
MEM 39.652344 1730131588.2932
MEM 39.652344 1730131588.3941
MEM 41.187500 1730131588.4949
MEM 41.195312 1730131588.5950
MEM 39.261719 1730131588.6954
MEM 39.261719 1730131588.7962
MEM 39.261719 1730131588.8971
MEM 39.261719 1730131588.9974
MEM 39.261719 1730131589.0983
MEM 39.261719 1730131589.1991
MEM 39.261719 1730131589.3000
MEM 39.695312 1730131589.4008
MEM 39.695312 1730131589.5017
MEM 39.695312 1730131589.6022
MEM 39.812500 1730131589.7027
MEM 39.812500 1730131589.8036
MEM 39.812500 1730131589.9040
MEM 40.050781 1730131590.0043
MEM 40.050781 1730131590.1048
MEM 40.050781 1730131590.2053
MEM 40.113281 1730131590.3061
MEM 40.113281 1730131590.4066
MEM 40.113281 1730131590.5071
MEM 40.113281 1730131590.6075
MEM 40.113281 1730131590.7084
MEM 40.113281 1730131590.8093
MEM 40.433594 1730131590.9101
MEM 40.433594 1730131591.0102
MEM 40.433594 1730131591.1106
MEM 40.433594 1730131591.2114
MEM 40.433594 1730131591.3123
MEM 40.433594 1730131591.4127
MEM 40.433594 1730131591.5136
MEM 40.722656 1730131591.6143
MEM 40.722656 1730131591.7147
MEM 40.722656 1730131591.8156
MEM 40.722656 1730131591.9164
MEM 40.722656 1730131592.0167
MEM 40.722656 1730131592.1175
MEM 40.722656 1730131592.2179
MEM 40.769531 1730131592.3187
MEM 40.769531 1730131592.4191
MEM 40.792969 1730131592.5199
MEM 40.792969 1730131592.6205
MEM 40.792969 1730131592.7213
MEM 40.804688 1730131592.8221
MEM 40.804688 1730131592.9228
MEM 40.804688 1730131593.0236
MEM 40.859375 1730131593.1244
MEM 40.859375 1730131593.2248
MEM 40.859375 1730131593.3253
MEM 40.859375 1730131593.4258
MEM 40.859375 1730131593.5263
MEM 40.859375 1730131593.6268
MEM 40.863281 1730131593.7273
MEM 40.863281 1730131593.8277
MEM 40.863281 1730131593.9281
MEM 40.867188 1730131594.0284
MEM 40.867188 1730131594.1288
MEM 40.867188 1730131594.2293
MEM 40.878906 1730131594.3301
MEM 40.878906 1730131594.4305
MEM 40.878906 1730131594.5310
MEM 40.878906 1730131594.6315
MEM 40.878906 1730131594.7324
MEM 40.878906 1730131594.8333
MEM 40.878906 1730131594.9341
MEM 40.878906 1730131595.0344
MEM 40.878906 1730131595.1353
MEM 40.878906 1730131595.2361
MEM 40.878906 1730131595.3363
MEM 40.878906 1730131595.4366
MEM 40.878906 1730131595.5374
MEM 40.878906 1730131595.6376
MEM 40.890625 1730131595.7379
MEM 40.890625 1730131595.8382
MEM 39.785156 1730131595.9390
